公告,#genre#
软件免费,https://cfss.cc/api/kg/FEFD599DF8886873B5708562CFFF4D43.mp4
微信公众号,https://cfss.cc/api/kg/881FAE86595A12CCE6D05667F97EB8D8.mp4
神马盒子工作室,https://cfss.cc/api/kg/6224E256FA4255F675D28659F1B781E8.mp4

CCTV频道,#genre#
CCTV1,http://beijinglive.online.domybox.com:91/live/CCTV1hd-8M/live.m3u8$xinghe
CCTV2,http://beijinglive.online.domybox.com:91/live/CCTV2hd-8M/live.m3u8$xinghe
CCTV3,http://beijinglive.online.domybox.com:91/live/CCTV3hd-8M/live.m3u8$xinghe
CCTV4,http://beijinglive.online.domybox.com:91/live/CCTV4hd-8M/live.m3u8$xinghe
CCTV5,http://beijinglive.online.domybox.com:91/live/CCTV5hd-8M/live.m3u8$xinghe
CCTV5+,http://beijinglive.online.domybox.com:91/live/CCTV5+hd-8M/live.m3u8$xinghe
CCTV6,http://beijinglive.online.domybox.com:91/live/CCTV6hd-8M/live.m3u8$xinghe
CCTV7,http://beijinglive.online.domybox.com:91/live/CCTV7hd-8M/live.m3u8$xinghe
CCTV8,http://beijinglive.online.domybox.com:91/live/CCTV8hd-8M/live.m3u8$xinghe
CCTV9,http://beijinglive.online.domybox.com:91/live/CCTV9hd-8M/live.m3u8$xinghe
CCTV10,http://beijinglive.online.domybox.com:91/live/CCTV10hd-8M/live.m3u8$xinghe
CCTV11,http://beijinglive.online.domybox.com:91/live/CCTV11hd-8M/live.m3u8$xinghe
CCTV12,http://beijinglive.online.domybox.com:91/live/CCTV12hd-8M/live.m3u8$xinghe
CCTV13,http://beijinglive.online.domybox.com:91/live/CCTV13hd-8M/live.m3u8$xinghe
CCTV14,http://beijinglive.online.domybox.com:91/live/CCTV14hd-8M/live.m3u8$xinghe
CCTV15,http://beijinglive.online.domybox.com:91/live/CCTV15hd-8M/live.m3u8$xinghe
CCTV16,http://beijinglive.online.domybox.com:91/live/CCTV16hd-8M/live.m3u8$xinghe
CCTV17,http://beijinglive.online.domybox.com:91/live/CCTV17hd-8M/live.m3u8$xinghe

CCTV1,http://118.77.75.174:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://118.77.75.174:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://118.77.75.174:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://118.77.75.174:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://118.77.75.174:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://118.77.75.174:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6,http://118.77.75.174:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://118.77.75.174:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://118.77.75.174:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://118.77.75.174:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://118.77.75.174:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
